input,actual_output,expected_output,context,retrieval_context,n_chunks_per_context,context_length,evolutions,context_quality,synthetic_input_quality,source_file
Can you tell me what's the difference between emergency shelter and temporary housing? I don't have anywhere to stay right now and I'm confused about my options.,,,[],,0,0,['Comparative'],,0.8,
"Hey, I'm really struggling to find food around here. Are there better options in other neighborhoods? I'm kinda lost and hungry.",,,[],,0,0,['Comparative'],,0.1,
I just lost my job and can't pay my rent anymore. Is there any emergency housing or help for people like me? I'm really scared I might end up on the street soon.,,,[],,0,0,['Constrained'],,0.7,
I feel unsafe where I am right now. Can you tell me how to find a safer place or what I should do? I don't know how to choose where to go.,,,[],,0,0,['Reasoning'],,0.7,
I haven't eaten in days and I don't have any way to get around. Is there anywhere close where I can get free food? Please help.,,,[],,0,0,['Constrained'],,0.2,
"I don't have anywhere to sleep tonight, can you help me find shelter? I'm really scared and tired.",,,[],,0,0,['Multi-context'],,0.9,
All my clothes are dirty and I can't wash them because there's no power. Is there any way I can clean them or get some clean clothes? I feel really stuck.,,,[],,0,0,['Hypothetical'],,1.0,
"Hey, are there any shelters open tonight around here that also give food or medical help? I really need somewhere safe to stay and I'm not feeling well.",,,[],,0,0,['Constrained'],,0.2,
I feel really lost and need help with medical stuff and also just someone to talk to. Can you tell me where I can get help for my health and maybe some support if I feel really down?,,,[],,0,0,['Constrained'],,0.6,
"I feel scared because someone I know is threatening me, but sometimes strangers also make me feel unsafe. What should I do if I don't feel safe around people, even if I know them?",,,[],,0,0,['Comparative'],,1.0,
"I really need somewhere to shower and do laundry, like a place that's open all night. Is there anywhere I can go? I don't have anywhere else to clean up.",,,[],,0,0,['In-Breadth'],,0.5,
I’ve been sick for days and can’t get medical help anywhere. What should I do to take care of myself? I’m really worried.,,,[],,0,0,['Concretizing'],,0.9,
"I lost everything, I don't have any clothes left. What should I do to get some clothes? Can you help me, please?",,,[],,0,0,['Reasoning'],,1.0,
I am undocumented and scared to ask for help. How can I stay safe when looking for shelter or food? What should I do first?,,,[],,0,0,['Reasoning'],,1.0,
"I need help with food and shelter, but I don't know which is easier to get. Can you tell me what options are available? I'm really struggling right now.",,,[],,0,0,['Comparative'],,0.3,
